index,zh,en,count,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
0,北京大学,Peking University,1/1,[xelmirage/pku_thesis_docx](https://github.com/xelmirage/pku_thesis_docx),1,91,16,2,2022-03-16,2020-11-24,2023-11-21, ,docx版本的北京大学毕业论文模板
1,北京航空航天大学,Beijing University of Aeronautics and Astronautics (Beihang University),1/1,[ixzhao/BUAA_Dissertation_Template](https://github.com/ixzhao/BUAA_Dissertation_Template),1,42,12,1,2023-03-25,2021-12-16,2023-11-24,MIT,北航硕博研究生毕业设计论文模板（Word）
2,北京邮电大学,Beijing University of Posts and Telecommunications,1/1,[sigmarising/BUPTMasterThesisWord](https://github.com/sigmarising/BUPTMasterThesisWord),1,183,29,3,2023-06-12,2022-02-08,2023-11-25,MIT,The Microsoft Office Word template of BUPT Thesis for Master Degree.
3,东北大学,Northeastern University,1/1,[NEUAI/neuthesis-bachelor-msword](https://github.com/NEUAI/neuthesis-bachelor-msword),1,12,1,1,2019-06-06,2018-11-16,2022-02-28, ,The Microsoft Word template of Bachelor thesis for Northeastern University (China).（东北大学本科生毕业设计论文Microsoft Word模板）
4,南方科技大学,Southern University of Science and Technology,1/1,[jerrylususu/sustech-thesis-word](https://github.com/jerrylususu/sustech-thesis-word),1,0,0,2,2021-06-08,2021-06-08,2021-06-08, ,南方科技大学毕业论文 Word 模板
5,南京大学,Nanjing University,1/1,[idealclover/NJU-Thesis-Word](https://github.com/idealclover/NJU-Thesis-Word),1,12,2,1,2020-05-14,2020-04-15,2023-09-15, ,南京大学本科毕业论文 Word 模板
6,清华大学,Tsinghua University,1/1,[qbh16/ThuWordThesis](https://github.com/qbh16/ThuWordThesis),1,115,4,2,2023-03-22,2021-05-13,2023-11-13, ,清华大学学位论文Word模板。A Word thesis template for Tsinghua University.
7,山东大学,Shandong University,1/1,[tianyu-su/sdu-theis-template](https://github.com/tianyu-su/sdu-theis-template),1,6,0,1,2023-01-20,2023-01-20,2023-11-20, ,山东大学硕（博）学位论文模板（word版）
8,上海交通大学,Shanghai Jiaotong University,1/1,[pydxflwb/SJTUUndergraduateThesis2021-Word](https://github.com/pydxflwb/SJTUUndergraduateThesis2021-Word),1,0,0,2,2021-05-20,2021-05-20,2021-05-20, ,上海交通大学本科毕设论文模板2021Word版
9,石河子大学,Shihezi University,1/1,[swcyo/2021shzuthesis](https://github.com/swcyo/2021shzuthesis),1,0,0,1,2021-09-10,2021-09-08,2021-09-10, ,2021年石河子大学学位论文要求，包含一个pdf和word版本
10,四川大学,Sichuan University,3/3,[IcyFeather233/SCU-Graduation-Thesis](https://github.com/IcyFeather233/SCU-Graduation-Thesis),1,0,0,1,2023-04-13,2023-04-13,2023-04-13, ,四川大学本科毕业论文（设计）word模板及要求
11,四川大学,Sichuan University,3/3,[SunnyHaze/scu-thesis-template](https://github.com/SunnyHaze/scu-thesis-template),1,19,1,1,2023-04-27,2023-03-13,2023-07-06, ,四川大学本科毕业论文word模板及常见要求
12,四川大学,Sichuan University,3/3,[northword/SCU-Thesis-MSWord-Template](https://github.com/northword/SCU-Thesis-MSWord-Template),1,0,0,1,2023-03-14,2023-03-14,2023-03-14, ,四川大学建筑与环境学院硕博士研究生学位论文 Word 模板
13,武汉大学,Wuhan University,2/2,[Yimsun97/thesisTemplate](https://github.com/Yimsun97/thesisTemplate),1,14,4,1,2019-11-11,2019-10-21,2023-11-25, ,武汉大学本科生毕业论文Word模板
14,武汉大学,Wuhan University,2/2,[happytianhao/-Word-](https://github.com/happytianhao/-Word-),1,0,0,0,2020-04-19,2020-04-19,2020-04-27, ,武汉大学计算机学院本科生毕业论文Word模板（瞎搞的，不是很formal）
15,西安交通大学,Xi'an Jiaotong University,1/1,[obster-y/XJTU-thesis-Office](https://github.com/obster-y/XJTU-thesis-Office),1,15,1,2,2023-06-05,2022-05-17,2023-10-16,LPPL-1.3c,西安交通大学学位论文模板（Office）（适用硕士、博士学位）An unofficial Office template for Xi'an Jiaotong University degree thesis (Chinese and English)
16,西北工业大学,Northwestern Polytechnical University,1/1,[Sirius0v0/word-template-for-NPU-thesis](https://github.com/Sirius0v0/word-template-for-NPU-thesis),1,5,1,1,2023-07-07,2022-05-05,2023-08-18,GPL-3.0,西北工业大学本科毕业设计论文模板（word 版本 | Microsoft Office Word）
17,中国科学院大学,University of Chinese Academy of Sciences,1/1,[xmicroshell/UCAS-Thesis](https://github.com/xmicroshell/UCAS-Thesis),1,4,1,2,2021-03-17,2021-03-14,2023-09-05, ,中国科学院大学学位论文 Word模板
18,中山大学,Sun Yat-sen University,1/1,[HareInWeed/SYSU-thesis](https://github.com/HareInWeed/SYSU-thesis),1,8,1,1,2021-02-23,2021-02-22,2023-04-18, ,SYSU-thesis: 中山大学本科生毕业论文(设计) Word 模板 （非官方）
